,cross,para,-2-3-,-1-2-,-2-9-,-9-16-,-1-10-,-17-18-,"Dist(2, 3)","Dist(1, 2)","Dist(2, 9)","Dist(9, 16)","Dist(1, 10)","Dist(17, 18)","Dist(10, 17)","Dist(16, 17)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO H 16,NBO O 17,NBO C 18,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 H16,diff O17 C18,B1,B5,L,output
Ph,1647.2164,1677.0502,1412.3863,1412.3863,1419.867,3810.1665,3834.7667,1849.1161,1.566711492,1.366653142,1.36658508,0.965401657,0.965330109,1.207146843,2.01957859,2.019487858,-3.2539,7.2609,0.0002,7.9567,-0.91043,1.11254,-0.39084,-0.91043,0.50504,0.50506,-0.60447,0.64651,2.02297,1.50338,2.02297,1.41547,1.41549,1.25098,1.72,3.14,6.85,0.872156273
m_F,1657.702,1684.6597,1487.1325,1426.6344,1426.6344,3830.2551,3805.6111,1848.1126,1.569194994,1.36480762,1.364848373,0.965653882,0.965758008,1.207494311,2.014633987,2.011037844,4.4436,-7.8853,0.0533,9.0513,-0.90873,1.11226,-0.36444,-0.90928,0.50669,0.50696,-0.60703,0.64775,2.02099,1.4767,2.02154,1.41542,1.41624,1.25478,1.72,3.7,6.85,1.071882007
m_Me,1677.6322,1655.7112,1420.9571,1405.9887,1420.9571,3836.7836,3813.0266,1849.4965,1.566728199,1.366692833,1.367022966,0.965240597,0.965300269,1.207085506,2.020172359,2.020714084,3.9109,-6.7908,0.0783,7.8368,-0.9103,1.11323,-0.38209,-0.91094,0.50469,0.50472,-0.60398,0.64627,2.02353,1.49532,2.02417,1.41499,1.41566,1.25025,1.76,4.25,6.89,0.809559715
m_naph,1644.9079,1706.8855,1433.1937,1425.5913,1425.5913,3808.8844,3834.5129,1848.8136,1.566675277,1.366434219,1.366195621,0.965652853,0.965265034,1.207252667,2.02841477,2.006906991,3.0546,-7.623,0.8352,8.2546,-0.90981,1.11277,-0.3877,-0.91024,0.5054,0.50584,-0.6052,0.64687,2.02258,1.50047,2.02301,1.41521,1.41608,1.25207,1.72,4.35,8.97,1.049218023
m_tfm,1682.8686,1664.2232,1434.178,1412.8975,1434.178,3800.4901,3827.3081,1847.4164,1.569972134,1.364162622,1.363323791,0.966036159,0.965818208,1.207760912,2.022692248,2.000702462,-3.3412,9.4548,0.043,10.0279,-0.90835,1.11252,-0.37836,-0.90827,0.50813,0.50835,-0.60886,0.64856,2.02087,1.49088,2.02079,1.41648,1.41662,1.25742,1.9,4.78,7.46,1.460897843
mm_F,1668.0429,1693.8695,1425.9346,1430.1285,1430.1285,3825.1514,3799.009,1846.6384,1.571588241,1.36313466,1.363206712,0.966039699,0.966041536,1.207851187,2.005957412,2.006073705,-4.0904,9.0486,0.0646,9.9304,-0.90759,1.11219,-0.33907,-0.9076,0.50852,0.50851,-0.60958,0.64905,2.01978,1.45126,2.01979,1.41611,1.41611,1.25863,1.72,3.69,6.86,0.946943271
mm_oMe,1671.939,1662.7094,1420.7664,1417.6194,1417.6194,3809.8898,3834.6355,1849.0809,1.568099601,1.366766333,1.366695994,0.965371447,0.965346083,1.207170087,2.018823028,2.017512652,-4.0731,8.8679,0.1376,9.7595,-0.91133,1.11458,-0.34383,-0.91138,0.50527,0.50526,-0.60501,0.64677,2.02591,1.45841,2.02596,1.4166,1.41664,1.25178,1.89,5.33,6.83,0.854306042
o_F,1649.257,1685.3355,1404.1735,1427.8747,1427.8747,3832.7032,3804.0382,1849.1137,1.572967647,1.360213351,1.368196963,0.965298218,0.965999922,1.207212968,2.008263675,2.017483125,-3.6938,6.5666,-0.3927,7.5444,-0.89458,1.11092,-0.45219,-0.91267,0.50383,0.50713,-0.60578,0.64738,2.0055,1.56311,2.02359,1.39841,1.4198,1.25316,1.72,3.7,6.87,1.225438517
o_Me,1641.4065,1673.3483,1408.5156,1404.2801,1408.5156,3804.801,3833.1711,1849.3258,1.572246358,1.369255148,1.36800708,0.965925805,0.965127878,1.207130573,2.012675297,2.008515536,3.9594,-7.1931,-0.215,8.2137,-0.91403,1.11194,-0.39568,-0.91414,0.50485,0.5059,-0.60513,0.64716,2.02597,1.50762,2.02608,1.41888,1.42004,1.25229,1.77,4.29,6.85,0.829303773
op_Me,1633.1485,1682.3994,1403.6213,1403.6213,1399.5639,3807.59,3835.7405,1849.5447,1.569878113,1.370020051,1.368770087,0.965788,0.964905804,1.207033276,2.015947455,2.014130597,3.5939,-6.9272,-0.1544,7.8056,-0.91453,1.11203,-0.40677,-0.91447,0.50418,0.50536,-0.60416,0.64661,2.02656,1.5188,2.0265,1.41871,1.41983,1.25077,1.84,4.29,7.79,0.774516966
p_F,1660.1582,1677.594,1413.4201,1413.4201,1413.012,3807.1784,3832.1398,1848.4705,1.564839957,1.366325371,1.366304937,0.965603671,0.965484982,1.207334278,2.017541323,2.017626122,3.9186,-8.7304,-0.008,9.5695,-0.91059,1.11217,-0.40905,-0.91061,0.50604,0.50606,-0.60608,0.64723,2.02276,1.52122,2.02278,1.41663,1.41667,1.25331,1.72,3.14,7.43,0.875061263
p_Me,1633.856,1685.6189,1414.3278,1411.3261,1411.3261,3836.371,3812.1182,1849.7763,1.56446597,1.367346851,1.367390891,0.965220793,0.965270807,1.206975414,2.021466351,2.021899369,-3.0776,6.8907,-0.1016,7.5474,-0.91091,1.11255,-0.40222,-0.91089,0.50444,0.50443,-0.60355,0.6461,2.02346,1.51477,2.02344,1.41535,1.41532,1.24965,1.71,3.14,7.79,0.815577748
p_oMe,1641.3167,1679.6616,1415.279,1410.327,1410.327,3814.7598,3838.6629,1849.5371,1.5609922,1.368127205,1.368278499,0.96516294,0.965031176,1.206972435,2.028436432,2.018649085,1.6748,-7.2583,-0.006,7.4491,-0.91122,1.1115,-0.42687,-0.91243,0.50401,0.50415,-0.60298,0.64577,2.02272,1.53837,2.02393,1.41523,1.41658,1.24875,1.78,3.16,8.91,0.748188027
p_tBu,1626.7039,1684.0988,1415.2834,1412.505,1412.505,3836.009,3811.6904,1849.7394,1.564655484,1.367207004,1.367190339,0.965205244,0.965334532,1.206983372,2.019835283,2.024116615,-3.1768,6.9885,0.0629,7.6769,-0.9107,1.11322,-0.39912,-0.91046,0.50451,0.50445,-0.60366,0.6461,2.02392,1.51234,2.02368,1.41521,1.41491,1.24976,2.73,3.22,9.04,0.841984805
p_tfm,1645.0937,1692.822,1416.2211,1420.1282,1420.1282,3800.3036,3826.1809,1846.4898,1.570920396,1.363932997,1.363884093,0.965969979,0.965938456,1.207849453,2.006849785,2.008425338,4.647,-10.3162,-0.001,11.3145,-0.90853,1.11182,-0.36642,-0.90846,0.50815,0.50815,-0.60929,0.64884,2.02035,1.47824,2.02028,1.41668,1.41661,1.25813,1.93,3.14,8.15,1.100370545
